date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:25	302178/302178	---MCZ	200	added ('OK')	image/svg+xml	etag:c03833db7fe8be52258330428b2243edb9075a46-df	http://d33wubrfki0l68.cloudfront.net/dada8b835630963ce5a3b960e4c4442155176434/a11a5/static/iphone-1.e982036c.svg	/home/boss/websites/Israel%20angel/d33wubrfki0l68.cloudfront.net/dada8b835630963ce5a3b960e4c4442155176434/a11a5/static/iphone-1.e982036c.svg	(from http://cosmoapp.io/)
22:35:25	194372/194372	---MCZ	404	error ('Not%20Found')	text/html	etag:1511268088-df	http://cosmoapp.io/%22data:image/svg+xml,%3Csvg%20width='84'%20height='48'%20viewBox='0%200%2084%2048'%20xmlns='http://www.w3.org/2000/svg'%3E%3Cpath%20d='M0%200h12v6H0V0zm28%208h12v6H28V8zm14-8h12v6H42V0zm14%200h12v6H56V0zm0%208h12v6H56V8zM42%208h12v6H42V8zm0%2016h12v6H42v-6zm14-8h12v6H56v-6zm14%200h12v6H70v-6zm0-16h12v6H70V0zM28%2032h12v6H28v-6zM14%2016h12v6H14v-6zM0%2024h12v6H0v-6zm0%208h12v6H0v-6zm14%200h12v6H14v-6zm14%208h12v6H28v-6zm-14%200h12v6H14v-6zm28%200h12v6H42v-6zm14-8h12v6H56v-6zm0-8h12v6H56v-6zm14%208h12v6H70v-6zm0%208h12v6H70v-6zM14%2024h12v6H14v-6zm14-8h12v6H28v-6zM14%208h12v6H14V8zM0%208h12v6H0V8z'%20fill='%237654e5'%20fill-opacity='0.4'%20fill-rule='evenodd'/%3E%3C/svg%3E%22	/home/boss/websites/Israel%20angel/cosmoapp.io/_data_image/svg+xml,_svg%20width='84'%20height='48'%20viewBox='0/www.w3.org/2000/svg'__path%20d='M0%200h12v6H0V0zm28%208h12v6H28V8zm14/__/svg__	(from http://cosmoapp.io/)
22:35:26	18278/18278	---M--	200	added ('OK')	image/jpeg	etag:1d7bd2ee8237c54c27f5907cd6f75d530c36ca5e	http://d33wubrfki0l68.cloudfront.net/c4ffcf8233bcddebb97059cd356f75ab5dccae16/fd244/static/cryptocompare.edfb0e24.jpg	/home/boss/websites/Israel%20angel/d33wubrfki0l68.cloudfront.net/c4ffcf8233bcddebb97059cd356f75ab5dccae16/fd244/static/cryptocompare.edfb0e24.jpg	(from http://cosmoapp.io/)
22:35:26	10447/10447	---M--	200	added ('OK')	image/jpeg	etag:083ede1f5d92f9eb8d4f0774c9fc80f6d941d910	http://d33wubrfki0l68.cloudfront.net/1eee88ba26e5b3867364ec5a405b729f38f65a18/78e41/static/poloniex.7df90f6e.jpg	/home/boss/websites/Israel%20angel/d33wubrfki0l68.cloudfront.net/1eee88ba26e5b3867364ec5a405b729f38f65a18/78e41/static/poloniex.7df90f6e.jpg	(from http://cosmoapp.io/)
22:35:28	50/50	---MC-	301	error ('Moved%20Permanently')	text/plain	etag:%22321987f9f5f19ea12f9cd48b3c020e66-df%22	http://cosmoapp.io/terms-policy	/home/boss/websites/Israel%20angel/cosmoapp.io/terms-policy	(from http://cosmoapp.io/)
22:35:29	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2020:34:56%20GMT	http://www.sayollo.com/robots.txt		(from )
22:35:29	544066/544066	---MCZ	200	added ('OK')	image/svg+xml	etag:31049eb6f7834da8bef8efe8a1bac1bac289ebb4-df	http://d33wubrfki0l68.cloudfront.net/d6d8dd9297eda120f6172fc50b83457d5f1754c0/d66e9/static/iphone-2.b262e6a4.svg	/home/boss/websites/Israel%20angel/d33wubrfki0l68.cloudfront.net/d6d8dd9297eda120f6172fc50b83457d5f1754c0/d66e9/static/iphone-2.b262e6a4.svg	(from http://cosmoapp.io/)
22:35:29	30069/30069	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:56:50%20GMT	http://www.sayollo.com/img/favicon.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/favicon.png	(from http://www.sayollo.com/)
22:35:29	607858/607858	---MCZ	200	added ('OK')	image/svg+xml	etag:40c4a5b70abfa2f2f7171c4e40847dce0b8ff25d-df	http://d33wubrfki0l68.cloudfront.net/1e08e55b19efe6388b6c6e22b9772fa44ba946a8/36d8c/static/iphone-4.2e052a98.svg	/home/boss/websites/Israel%20angel/d33wubrfki0l68.cloudfront.net/1e08e55b19efe6388b6c6e22b9772fa44ba946a8/36d8c/static/iphone-4.2e052a98.svg	(from http://cosmoapp.io/)
22:35:30	30069/30069	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:56:52%20GMT	http://www.sayollo.com/img/favicon-retina-ipad.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/favicon-retina-ipad.png	(from http://www.sayollo.com/)
22:35:30	197595/197595	---MCZ	200	added ('OK')	text/html	etag:%22321987f9f5f19ea12f9cd48b3c020e66-df%22	http://cosmoapp.io/terms-policy/	/home/boss/websites/Israel%20angel/cosmoapp.io/terms-policy/index.html	(from http://cosmoapp.io/)
22:35:30	30069/30069	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:56:49%20GMT	http://www.sayollo.com/img/favicon-retina-iphone.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/favicon-retina-iphone.png	(from http://www.sayollo.com/)
22:35:31	30069/30069	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:56:51%20GMT	http://www.sayollo.com/img/favicon-standard-iphone.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/favicon-standard-iphone.png	(from http://www.sayollo.com/)
22:35:31	108076/108076	---MCZ	200	added ('OK')	text/css	date:Sun,%2017%20Dec%202017%2014:07:34%20GMT	http://www.sayollo.com/css/style.css	/home/boss/websites/Israel%20angel/www.sayollo.com/css/style.css	(from http://www.sayollo.com/)
22:35:31	30069/30069	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:56:53%20GMT	http://www.sayollo.com/img/favicon-standard-ipad.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/favicon-standard-ipad.png	(from http://www.sayollo.com/)
22:35:32	8372/8372	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:42%20GMT	http://www.sayollo.com/js/modernizr.custom.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/modernizr.custom.js	(from http://www.sayollo.com/)
22:35:32	38236/38236	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Dec%202017%2011:40:05%20GMT	http://www.sayollo.com/img/logo1.png	/home/boss/websites/Israel%20angel/www.sayollo.com/img/logo1.png	(from http://www.sayollo.com/)
22:35:32	97162/97162	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:32%20GMT	http://www.sayollo.com/js/jquery.min.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/jquery.min.js	(from http://www.sayollo.com/)
22:35:32	12926/12926	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:27%20GMT	http://www.sayollo.com/js/jquery.easings.min.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/jquery.easings.min.js	(from http://www.sayollo.com/)
22:35:33	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:10%20GMT	http://www.sayollo.com/js/bootstrap.min.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/bootstrap.min.js	(from http://www.sayollo.com/)
22:35:33	34856/34856	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:08:04%20GMT	http://www.sayollo.com/js/velocity.min.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/velocity.min.js	(from http://www.sayollo.com/)
22:35:33	13257/13257	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:08:05%20GMT	http://www.sayollo.com/js/velocity.ui.min.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/velocity.ui.min.js	(from http://www.sayollo.com/)
22:35:33	3814/3814	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:43%20GMT	http://www.sayollo.com/js/notifyMe.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/notifyMe.js	(from http://www.sayollo.com/)
22:35:34	789/789	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:51%20GMT	http://www.sayollo.com/js/say-custom.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/say-custom.js	(from http://www.sayollo.com/)
22:35:34	8267/8267	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:33%20GMT	http://www.sayollo.com/js/jquery.mousewheel.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/jquery.mousewheel.js	(from http://www.sayollo.com/)
22:35:34	1835/1835	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:12%20GMT	http://www.sayollo.com/js/classie.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/classie.js	(from http://www.sayollo.com/)
22:35:35	88482/88482	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:30%20GMT	http://www.sayollo.com/js/jquery.mCustomScrollbar.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/jquery.mCustomScrollbar.js	(from http://www.sayollo.com/)
22:35:35	2581/2581	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:17%20GMT	http://www.sayollo.com/js/dialogFx.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/dialogFx.js	(from http://www.sayollo.com/)
22:35:35	3902/3902	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2017%20Dec%202017%2014:07:37%20GMT	http://www.sayollo.com/js/main.js	/home/boss/websites/Israel%20angel/www.sayollo.com/js/main.js	(from http://www.sayollo.com/)
22:35:35	237/237	---M--	200	added ('OK')	text/plain	date:Fri,%2017%20Feb%202017%2004:08:31%20GMT	http://s.w.org/robots.txt		(from https://playpalsapp.co/)
22:35:36	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Jan%202018%2020:35:36%20GMT	http://playpalsapp.co/robots.txt		(from https://playpalsapp.co/)
22:35:38	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Jan%202018%2020:35:37%20GMT	https://fonts.googleapis.com/robots.txt		(from https://playpalsapp.co/)
22:35:38	529/529	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Jan%202018%2020:35:38%20GMT	https://www.facebook.com/robots.txt		(from https://playpalsapp.co/)
22:35:40	13298/13298	---MCZ	200	added ('OK')	text/css	etag:W/%225a08c85a-33f2%22	https://playpalsapp.co/wp-content/uploads/elementor/css/post-83.css?ver=1510525018	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/elementor/css/post-8386ab.css	(from https://playpalsapp.co/how-to-use/)
22:35:41	2121/2121	---MCZ	200	added ('OK')	application/json	date:Tue,%2016%20Jan%202018%2020:35:41%20GMT	https://playpalsapp.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fplaypalsapp.co%2Fhow-to-use%2F	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-json/oembed/1.0/embede8c8.json	(from https://playpalsapp.co/how-to-use/)
